"IdUbigeo","Departamento","Provincia","Distrito","Genero","TotalPoblacion","CantidadAfiliados","PorcentajeAP"
150141,LIMA,LIMA,SURQUILLO,MASCULINO,51793,24974,0.48
40201,AREQUIPA,CAMANA,CAMANA,MASCULINO,7639,4640,0.61
110404,ICA,PALPA,SANTA CRUZ,FEMENINO,516,424,0.82
90312,HUANCAVELICA,ANGARAES,SECCLLA,MASCULINO,1890,1433,0.76
200607,PIURA,SULLANA,QUERECOTILLO,MASCULINO,13174,10128,0.77
220402,SAN MARTIN,HUALLAGA,ALTO SAPOSOA,FEMENINO,1774,1830,1.03
50405,AYACUCHO,HUANTA,LURICOCHA,MASCULINO,2805,3560,1.27
150602,LIMA,HUARAL,ATAVILLOS ALTO,MASCULINO,346,296,0.86
150143,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,MASCULINO,243002,150047,0.62
210706,PUNO,LAMPA,PALCA,FEMENINO,1443,880,0.61
22008,ANCASH,YUNGAY,YANAMA,MASCULINO,3672,3120,0.85
190303,PASCO,OXAPAMPA,HUANCABAMBA,FEMENINO,3539,3274,0.93
40401,AREQUIPA,CASTILLA,APLAO,FEMENINO,4588,4125,0.9
40307,AREQUIPA,CARAVELI,CHALA,MASCULINO,3301,3526,1.07
51008,AYACUCHO,VICTOR FAJARDO,HUAMANQUIQUIA,FEMENINO,627,567,0.9
130806,LA LIBERTAD,PATAZ,HUAYO,FEMENINO,2304,2063,0.9
210310,PUNO,CARABAYA,USICAYOS,MASCULINO,11402,2175,0.19
20608,ANCASH,CARHUAZ,SAN MIGUEL DE ACO,FEMENINO,1367,1260,0.92
130207,LA LIBERTAD,ASCOPE,SANTIAGO DE CAO,FEMENINO,10308,5346,0.52
40401,AREQUIPA,CASTILLA,APLAO,MASCULINO,4684,4125,0.88
140118,LAMBAYEQUE,CHICLAYO,POMALCA,MASCULINO,13461,7742,0.58
40804,AREQUIPA,LA UNION,HUAYNACOTAS,MASCULINO,1146,1028,0.9
60110,CAJAMARCA,CAJAMARCA,MATARA,FEMENINO,1701,1633,0.96
150805,LIMA,HUAURA,HUALMAY,MASCULINO,15634,9892,0.63
250204,UCAYALI,ATALAYA,YURUA,MASCULINO,1286,1213,0.94
21202,ANCASH,HUAYLAS,HUALLANCA,FEMENINO,376,386,1.03
180101,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,FEMENINO,29393,18877,0.64
80502,CUSCO,CANAS,CHECCA,FEMENINO,3158,2821,0.89
190103,PASCO,PASCO,HUARIACA,MASCULINO,4477,2540,0.57
20610,ANCASH,CARHUAZ,TINCO,FEMENINO,1581,1518,0.96
240302,TUMBES,ZARUMILLA,AGUAS VERDES,MASCULINO,12339,9177,0.74
220103,SAN MARTIN,MOYOBAMBA,HABANA,FEMENINO,1106,904,0.82
50116,AYACUCHO,HUAMANGA,ANDRES AVELINO CACERES D.,FEMENINO,12208,3526,0.29
20802,ANCASH,CASMA,BUENA VISTA ALTA,MASCULINO,2102,2233,1.06
50901,AYACUCHO,SUCRE,QUEROBAMBA,MASCULINO,1444,1160,0.8
30218,APURIMAC,ANDAHUAYLAS,TURPO,MASCULINO,2182,1920,0.88
80108,CUSCO,CUSCO,WANCHAQ,FEMENINO,30719,22627,0.74
150513,LIMA,CANETE,SAN ANTONIO,MASCULINO,2237,1346,0.6
130614,LA LIBERTAD,OTUZCO,USQUIL,MASCULINO,14350,13342,0.93
230103,TACNA,TACNA,CALANA,FEMENINO,1643,1238,0.75
40501,AREQUIPA,CAYLLOMA,CHIVAY,FEMENINO,3925,3081,0.78
160110,LORETO,MAYNAS,TORRES CAUSANA,MASCULINO,2636,3771,1.43
51105,AYACUCHO,VILCAS HUAMAN,HUAMBALPA,MASCULINO,1137,834,0.73
110504,ICA,PISCO,INDEPENDENCIA,FEMENINO,7553,4927,0.65
30501,APURIMAC,COTABAMBAS,TAMBOBAMBA,FEMENINO,5843,6209,1.06
160211,LORETO,ALTO AMAZONAS,TENIENTE CESAR LOPEZ ROJAS,FEMENINO,3639,3340,0.92
40123,AREQUIPA,AREQUIPA,TIABAYA,MASCULINO,8034,5625,0.7
100609,HUANUCO,LEONCIO PRADO,PUEBLO NUEVO,MASCULINO,2779,1066,0.38
170101,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,FEMENINO,44312,39979,0.9
80302,CUSCO,ANTA,ANCAHUASI,MASCULINO,3631,3724,1.03
190201,PASCO,DANIEL ALCIDES CARRION,YANAHUANCA,MASCULINO,6778,5203,0.77
130904,LA LIBERTAD,SANCHEZ CARRION,CURGOS,MASCULINO,4713,4404,0.93
250102,UCAYALI,CORONEL PORTILLO,CAMPOVERDE,MASCULINO,7791,8198,1.05
151012,LIMA,YAUYOS,HONGOS,MASCULINO,213,168,0.79
40601,AREQUIPA,CONDESUYOS,CHUQUIBAMBA,FEMENINO,1690,1650,0.98
240304,TUMBES,ZARUMILLA,PAPAYAL,MASCULINO,2642,2870,1.09
110102,ICA,ICA,LA TINGUINA,MASCULINO,19033,11434,0.6
221001,SAN MARTIN,TOCACHE,TOCACHE,MASCULINO,12969,13897,1.07
20104,ANCASH,HUARAZ,HUANCHAY,FEMENINO,1193,848,0.71
90310,HUANCAVELICA,ANGARAES,SAN ANTONIO DE ANTAPARCO,FEMENINO,3838,441,0.11
51104,AYACUCHO,VILCAS HUAMAN,CONCEPCION,MASCULINO,1671,1012,0.61
30214,APURIMAC,ANDAHUAYLAS,SAN MIGUEL DE CHACCRAMPA,FEMENINO,1041,892,0.86
21009,ANCASH,HUARI,MASIN,MASCULINO,864,843,0.98
151011,LIMA,YAUYOS,COLONIA,FEMENINO,690,418,0.61
220905,SAN MARTIN,SAN MARTIN,CHIPURANA,MASCULINO,887,1264,1.43
90609,HUANCAVELICA,HUAYTARA,QUITO ARMA,MASCULINO,373,311,0.83
90102,HUANCAVELICA,HUANCAVELICA,ACOBAMBILLA,FEMENINO,2402,1075,0.45
210104,PUNO,PUNO,ATUNCOLLA,FEMENINO,2828,2434,0.86
40607,AREQUIPA,CONDESUYOS,SALAMANCA,MASCULINO,456,317,0.7
61307,CAJAMARCA,SANTA CRUZ,PULAN,FEMENINO,2253,2097,0.93
40706,AREQUIPA,ISLAY,PUNTA DE BOMBON,MASCULINO,3383,2863,0.85
170103,MADRE DE DIOS,TAMBOPATA,LAS PIEDRAS,MASCULINO,2987,5839,1.95
120431,JUNIN,JAUJA,SINCOS,MASCULINO,2550,2149,0.84
70105,CALLAO,CALLAO,LA PUNTA,MASCULINO,1940,1563,0.81
20401,ANCASH,ASUNCION,CHACAS,FEMENINO,2795,2026,0.72
130908,LA LIBERTAD,SANCHEZ CARRION,SARTIMBAMBA,FEMENINO,7017,7795,1.11
40511,AREQUIPA,CAYLLOMA,LLUTA,FEMENINO,734,431,0.59
110110,ICA,ICA,SAN JUAN BAUTISTA,MASCULINO,7886,2281,0.29
80403,CUSCO,CALCA,LAMAY,MASCULINO,2973,2930,0.99
60403,CAJAMARCA,CHOTA,CHADIN,MASCULINO,2142,2048,0.96
80206,CUSCO,ACOMAYO,RONDOCAN,FEMENINO,1235,1079,0.87
